scorer,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90
bodyparts,point_1,point_1,point_1,point_2,point_2,point_2,point_3,point_3,point_3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
203,790.9256,577.1078,0.8737668,814.23206,550.3198,0.92624676,762.6435,469.53375,0.55813336
204,791.94653,578.12744,0.85457104,814.3515,550.48926,0.92588973,763.2806,469.76126,0.7356518
205,790.9537,577.8878,0.8522867,814.81024,551.0559,0.89639944,763.6513,470.33646,0.763034
206,790.6482,578.3642,0.83888227,814.29034,550.0366,0.90747905,763.7804,471.12805,0.82894325
207,790.6581,578.237,0.84637874,814.18585,550.6057,0.9038281,765.2573,471.68814,0.7713361
208,790.6037,578.18427,0.88729924,813.17206,550.3059,0.9907666,765.611,472.89578,0.8295833
209,790.7541,578.3482,0.8850861,813.13666,550.498,0.9989884,766.21606,473.55148,0.80863845
210,792.34283,578.7315,0.89623815,812.76404,549.9527,1.0,765.7794,473.09048,0.77773637
211,790.7122,578.50916,0.89501613,813.6181,550.3603,0.93747,763.6187,472.7149,0.8376663
212,790.7622,578.14246,0.8760033,814.49054,550.48584,0.9002566,760.9295,472.1726,0.6269028
213,790.88086,577.9803,0.8666814,814.74097,550.4516,0.895113,755.72534,472.93393,0.71752536
214,790.85144,578.1063,0.85331976,814.5791,550.9506,0.8886718,754.56946,473.43463,0.7380782
215,791.06024,577.6796,0.8564282,815.1125,551.2348,0.90666634,752.17413,474.1459,0.7121471
216,790.76843,578.0547,0.8768268,815.0097,551.0144,0.8987626,749.66797,476.18484,0.7356067
217,791.0851,577.812,0.840675,815.3602,551.2086,0.8810863,746.7384,478.3053,0.80452234
218,792.56866,578.4837,0.883861,814.48444,550.8108,0.9131837,745.2597,480.5139,0.80677277
